Month,Price
2021-01-01,470
2021-02-01,493
2021-03-01,433
2021-04-01,386
2021-05-01,453
2021-06-01,480
2021-07-01,493
2021-08-01,536
2021-09-01,679
2021-10-01,712
2021-11-01,601
2021-12-01,526
2022-01-01,583
2022-02-01,543
2022-03-01,658
2022-04-01,683
2022-05-01,563
2022-06-01,535
2022-07-01,458
2022-08-01,421
2022-09-01,414
2022-10-01,408
2022-11-01,386
2022-12-01,428
2023-01-01,419
2023-02-01,419
2023-03-01,416
2023-04-01,383
2023-05-01,310
2023-06-01,286
2023-07-01,300
2023-08-01,314
2023-09-01,331
2023-10-01,350
2023-11-01,351
2023-12-01,370
2024-01-01,350
2024-02-01,332
2024-03-01,313
2024-04-01,301
2024-05-01,313
2024-06-01,303
2024-07-01,296
2024-08-01,271
2024-09-01,259
2024-10-01,281
2024-11-01,268
2024-12-01,261
2025-01-01,248
2025-02-01,239
2025-03-01,228
2025-04-01,228
2025-05-01,216
2025-06-01,202
2025-07-01,202
2025-08-01,222
