Month,Price
2021-01-01,470.0
2021-02-01,493.0
2021-03-01,433.0
2021-04-01,386.0
2021-05-01,453.0
2021-06-01,480.0
2021-07-01,493.0
2021-08-01,536.0
2021-09-01,679.0
2021-10-01,712.0
2021-11-01,601.0
2021-12-01,526.0
2022-01-01,583.0
2022-02-01,543.0
2022-03-01,658.0
2022-04-01,683.0
2022-05-01,563.0
2022-06-01,535.0
2022-07-01,458.0
2022-08-01,421.0
2022-09-01,414.0
2022-10-01,408.0
2022-11-01,386.0
2022-12-01,428.0
2023-01-01,419.0
2023-02-01,419.0
2023-03-01,416.0
2023-04-01,383.0
2023-05-01,310.0
2023-06-01,286.0
2023-07-01,300.0
2023-08-01,314.0
2023-09-01,331.0
2023-10-01,350.0
2023-11-01,351.0
2023-12-01,370.0
2024-01-01,350.0
2024-02-01,332.0
2024-03-01,313.0
2024-04-01,301.0
2024-05-01,313.0
2024-06-01,303.0
2024-07-01,296.0
2024-08-01,271.0
2024-09-01,259.0
2024-10-01,281.0
2024-11-01,268.0
2024-12-01,261.0
2025-01-01,248.0
2025-02-01,239.0
2025-03-01,228.0
2025-04-01,228.0
2025-05-01,216.0
2025-06-01,202.0
2025-07-01,202.0
2025-08-01,222.0
