Month,Price
2021-01-01,190
2021-02-01,188
2021-03-01,194
2021-04-01,210
2021-05-01,235
2021-06-01,238
2021-07-01,241
2021-08-01,183
2021-09-01,144
2021-10-01,142
2021-11-01,113
2021-12-01,139
2022-01-01,165
2022-02-01,176
2022-03-01,192
2022-04-01,187
2022-05-01,165
2022-06-01,160
2022-07-01,130
2022-08-01,123
2022-09-01,111
2022-10-01,106
2022-11-01,103
2022-12-01,126
2023-01-01,140
2023-02-01,143
2023-03-01,142
2023-04-01,127
2023-05-01,111
2023-06-01,119
2023-07-01,121
2023-08-01,118
2023-09-01,129
2023-10-01,126
2023-11-01,141
2023-12-01,147
2024-01-01,146
2024-02-01,135
2024-03-01,118
2024-04-01,116
2024-05-01,125
2024-06-01,114
2024-07-01,115
2024-08-01,107
2024-09-01,101
2024-10-01,114
2024-11-01,113
2024-12-01,114
2025-01-01,111
2025-02-01,115
2025-03-01,110
2025-04-01,106
2025-05-01,104
2025-06-01,99
2025-07-01,108
2025-08-01,114
