Month,Price
2021-01-01,17848.0
2021-02-01,18568.0
2021-03-01,16461.0
2021-04-01,16481.0
2021-05-01,17606.0
2021-06-01,17943.0
2021-07-01,18817.0
2021-08-01,19066.0
2021-09-01,19398.0
2021-10-01,19420.0
2021-11-01,19964.0
2021-12-01,20070.0
2022-01-01,22326.0
2022-02-01,24178.0
2022-03-01,34111.0
2022-04-01,33298.0
2022-05-01,27950.0
2022-06-01,25838.0
2022-07-01,21483.0
2022-08-01,21998.0
2022-09-01,22682.0
2022-10-01,20976.0
2022-11-01,25257.0
2022-12-01,28854.0
2023-01-01,28240.0
2023-02-01,26690.0
2023-03-01,23307.0
2023-04-01,23757.0
2023-05-01,22230.0
2023-06-01,21193.0
2023-07-01,20898.0
2023-08-01,20498.0
2023-09-01,19629.0
2023-10-01,18255.0
2023-11-01,16980.0
2023-12-01,16389.0
2024-01-01,16091.0
2024-02-01,16308.0
2024-03-01,17433.0
2024-04-01,18174.0
2024-05-01,19520.0
2024-06-01,17508.0
2024-07-01,16396.0
2024-08-01,16250.0
2024-09-01,16118.0
2024-10-01,16805.0
2024-11-01,15740.0
2024-12-01,15471.0
2025-01-01,15379.0
2025-02-01,15275.0
2025-03-01,16055.0
2025-04-01,15210.0
2025-05-01,15325.0
2025-06-01,14989.0
2025-07-01,15023.0
2025-08-01,14880.0
