Month,Price
2021-01-01,432.0
2021-02-01,390.0
2021-03-01,413.0
2021-04-01,407.0
2021-05-01,477.0
2021-06-01,482.0
2021-07-01,469.0
2021-08-01,426.0
2021-09-01,409.0
2021-10-01,449.0
2021-11-01,468.0
2021-12-01,442.0
2022-01-01,447.0
2022-02-01,486.0
2022-03-01,634.0
2022-04-01,611.0
2022-05-01,467.0
2022-06-01,360.0
2022-07-01,356.0
2022-08-01,371.0
2022-09-01,344.0
2022-10-01,361.0
2022-11-01,335.0
2022-12-01,380.0
2023-01-01,406.0
2023-02-01,420.0
2023-03-01,446.0
2023-04-01,414.0
2023-05-01,371.0
2023-06-01,378.0
2023-07-01,355.0
2023-08-01,362.0
2023-09-01,367.0
2023-10-01,352.0
2023-11-01,369.0
2023-12-01,401.0
2024-01-01,408.0
2024-02-01,407.0
2024-03-01,374.0
2024-04-01,369.0
2024-05-01,371.0
2024-06-01,381.0
2024-07-01,385.0
2024-08-01,368.0
2024-09-01,364.0
2024-10-01,371.0
2024-11-01,349.0
2024-12-01,343.0
2025-01-01,338.0
2025-02-01,357.0
2025-03-01,373.0
2025-04-01,348.0
2025-05-01,336.0
2025-06-01,331.0
2025-07-01,341.0
2025-08-01,336.0
