Month,Price
2021-01-01,2.0
2021-02-01,2.0
2021-03-01,2.0
2021-04-01,2.0
2021-05-01,2.0
2021-06-01,2.0
2021-07-01,2.0
2021-08-01,3.0
2021-09-01,3.0
2021-10-01,3.0
2021-11-01,4.0
2021-12-01,4.0
2022-01-01,4.0
2022-02-01,4.0
2022-03-01,6.0
2022-04-01,7.0
2022-05-01,7.0
2022-06-01,7.0
2022-07-01,7.0
2022-08-01,7.0
2022-09-01,7.0
2022-10-01,7.0
2022-11-01,7.0
2022-12-01,7.0
2023-01-01,6.0
2023-02-01,6.0
2023-03-01,6.0
2023-04-01,6.0
2023-05-01,6.0
2023-06-01,5.0
2023-07-01,5.0
2023-08-01,5.0
2023-09-01,5.0
2023-10-01,5.0
2023-11-01,4.0
2023-12-01,4.0
2024-01-01,4.0
2024-02-01,4.0
2024-03-01,4.0
2024-04-01,4.0
2024-05-01,4.0
2024-06-01,4.0
2024-07-01,4.0
2024-08-01,4.0
2024-09-01,4.0
2024-10-01,3.0
2024-11-01,3.0
2024-12-01,3.0
2025-01-01,3.0
2025-02-01,3.0
2025-03-01,3.0
2025-04-01,3.0
2025-05-01,3.0
2025-06-01,3.0
2025-07-01,3.0
2025-08-01,3.0
