Month,Price
2021-01-01,190.0
2021-02-01,190.0
2021-03-01,193.0
2021-04-01,213.0
2021-05-01,240.0
2021-06-01,246.0
2021-07-01,246.0
2021-08-01,184.0
2021-09-01,143.0
2021-10-01,143.0
2021-11-01,111.0
2021-12-01,132.0
2022-01-01,160.0
2022-02-01,171.0
2022-03-01,179.0
2022-04-01,176.0
2022-05-01,158.0
2022-06-01,150.0
2022-07-01,120.0
2022-08-01,118.0
2022-09-01,111.0
2022-10-01,105.0
2022-11-01,104.0
2022-12-01,125.0
2023-01-01,137.0
2023-02-01,141.0
2023-03-01,142.0
2023-04-01,131.0
2023-05-01,118.0
2023-06-01,125.0
2023-07-01,127.0
2023-08-01,122.0
2023-09-01,130.0
2023-10-01,128.0
2023-11-01,142.0
2023-12-01,148.0
2024-01-01,147.0
2024-02-01,137.0
2024-03-01,122.0
2024-04-01,123.0
2024-05-01,133.0
2024-06-01,122.0
2024-07-01,122.0
2024-08-01,113.0
2024-09-01,107.0
2024-10-01,119.0
2024-11-01,118.0
2024-12-01,118.0
2025-01-01,116.0
2025-02-01,120.0
2025-03-01,115.0
2025-04-01,112.0
2025-05-01,110.0
2025-06-01,104.0
2025-07-01,114.0
2025-08-01,119.0
