Month,Price
2021-01-01,190.0
2021-02-01,188.0
2021-03-01,194.0
2021-04-01,210.0
2021-05-01,235.0
2021-06-01,238.0
2021-07-01,241.0
2021-08-01,183.0
2021-09-01,144.0
2021-10-01,142.0
2021-11-01,113.0
2021-12-01,139.0
2022-01-01,165.0
2022-02-01,176.0
2022-03-01,192.0
2022-04-01,187.0
2022-05-01,165.0
2022-06-01,160.0
2022-07-01,130.0
2022-08-01,123.0
2022-09-01,111.0
2022-10-01,106.0
2022-11-01,103.0
2022-12-01,126.0
2023-01-01,140.0
2023-02-01,143.0
2023-03-01,142.0
2023-04-01,127.0
2023-05-01,111.0
2023-06-01,119.0
2023-07-01,121.0
2023-08-01,118.0
2023-09-01,129.0
2023-10-01,126.0
2023-11-01,141.0
2023-12-01,147.0
2024-01-01,146.0
2024-02-01,135.0
2024-03-01,118.0
2024-04-01,116.0
2024-05-01,125.0
2024-06-01,114.0
2024-07-01,115.0
2024-08-01,107.0
2024-09-01,101.0
2024-10-01,114.0
2024-11-01,113.0
2024-12-01,114.0
2025-01-01,111.0
2025-02-01,115.0
2025-03-01,110.0
2025-04-01,106.0
2025-05-01,104.0
2025-06-01,99.0
2025-07-01,108.0
2025-08-01,114.0
