Month,Price
2021-01-01,452.0
2021-02-01,429.0
2021-03-01,441.0
2021-04-01,456.0
2021-05-01,501.0
2021-06-01,522.0
2021-07-01,534.0
2021-08-01,520.0
2021-09-01,518.0
2021-10-01,536.0
2021-11-01,547.0
2021-12-01,529.0
2022-01-01,534.0
2022-02-01,547.0
2022-03-01,619.0
2022-04-01,629.0
2022-05-01,549.0
2022-06-01,471.0
2022-07-01,467.0
2022-08-01,481.0
2022-09-01,455.0
2022-10-01,452.0
2022-11-01,422.0
2022-12-01,437.0
2023-01-01,454.0
2023-02-01,453.0
2023-03-01,466.0
2023-04-01,450.0
2023-05-01,434.0
2023-06-01,428.0
2023-07-01,403.0
2023-08-01,421.0
2023-09-01,432.0
2023-10-01,406.0
2023-11-01,411.0
2023-12-01,418.0
2024-01-01,417.0
2024-02-01,414.0
2024-03-01,403.0
2024-04-01,418.0
2024-05-01,421.0
2024-06-01,414.0
2024-07-01,410.0
2024-08-01,398.0
2024-09-01,388.0
2024-10-01,396.0
2024-11-01,387.0
2024-12-01,380.0
2025-01-01,373.0
2025-02-01,372.0
2025-03-01,380.0
2025-04-01,379.0
2025-05-01,367.0
2025-06-01,360.0
2025-07-01,357.0
2025-08-01,364.0
