Month,Price
2021-01-01,190
2021-02-01,190
2021-03-01,193
2021-04-01,213
2021-05-01,240
2021-06-01,246
2021-07-01,246
2021-08-01,184
2021-09-01,143
2021-10-01,143
2021-11-01,111
2021-12-01,132
2022-01-01,160
2022-02-01,171
2022-03-01,179
2022-04-01,176
2022-05-01,158
2022-06-01,150
2022-07-01,120
2022-08-01,118
2022-09-01,111
2022-10-01,105
2022-11-01,104
2022-12-01,125
2023-01-01,137
2023-02-01,141
2023-03-01,142
2023-04-01,131
2023-05-01,118
2023-06-01,125
2023-07-01,127
2023-08-01,122
2023-09-01,130
2023-10-01,128
2023-11-01,142
2023-12-01,148
2024-01-01,147
2024-02-01,137
2024-03-01,122
2024-04-01,123
2024-05-01,133
2024-06-01,122
2024-07-01,122
2024-08-01,113
2024-09-01,107
2024-10-01,119
2024-11-01,118
2024-12-01,118
2025-01-01,116
2025-02-01,120
2025-03-01,115
2025-04-01,112
2025-05-01,110
2025-06-01,104
2025-07-01,114
2025-08-01,119
