Month,Price
2021-01-01,10
2021-02-01,12
2021-03-01,12
2021-04-01,11
2021-05-01,13
2021-06-01,18
2021-07-01,19
2021-08-01,20
2021-09-01,20
2021-10-01,20
2021-11-01,20
2021-12-01,20
2022-01-01,19
2022-02-01,19
2022-03-01,20
2022-04-01,20
2022-05-01,20
2022-06-01,19
2022-07-01,18
2022-08-01,17
2022-09-01,18
2022-10-01,20
2022-11-01,20
2022-12-01,26
2023-01-01,32
2023-02-01,39
2023-03-01,34
2023-04-01,25
2023-05-01,23
2023-06-01,23
2023-07-01,23
2023-08-01,26
2023-09-01,25
2023-10-01,22
2023-11-01,19
2023-12-01,19
2024-01-01,20
2024-02-01,20
2024-03-01,20
2024-04-01,20
2024-05-01,22
2024-06-01,24
2024-07-01,23
2024-08-01,22
2024-09-01,22
2024-10-01,22
2024-11-01,22
2024-12-01,22
2025-01-01,22
2025-02-01,21
2025-03-01,21
2025-04-01,21
2025-05-01,21
2025-06-01,22
2025-07-01,23
2025-08-01,25
