Month,Price
2021-01-01,17848
2021-02-01,18568
2021-03-01,16461
2021-04-01,16481
2021-05-01,17606
2021-06-01,17943
2021-07-01,18817
2021-08-01,19066
2021-09-01,19398
2021-10-01,19420
2021-11-01,19964
2021-12-01,20070
2022-01-01,22326
2022-02-01,24178
2022-03-01,34111
2022-04-01,33298
2022-05-01,27950
2022-06-01,25838
2022-07-01,21483
2022-08-01,21998
2022-09-01,22682
2022-10-01,20976
2022-11-01,25257
2022-12-01,28854
2023-01-01,28240
2023-02-01,26690
2023-03-01,23307
2023-04-01,23757
2023-05-01,22230
2023-06-01,21193
2023-07-01,20898
2023-08-01,20498
2023-09-01,19629
2023-10-01,18255
2023-11-01,16980
2023-12-01,16389
2024-01-01,16091
2024-02-01,16308
2024-03-01,17433
2024-04-01,18174
2024-05-01,19520
2024-06-01,17508
2024-07-01,16396
2024-08-01,16250
2024-09-01,16118
2024-10-01,16805
2024-11-01,15740
2024-12-01,15471
2025-01-01,15379
2025-02-01,15275
2025-03-01,16055
2025-04-01,15210
2025-05-01,15325
2025-06-01,14989
2025-07-01,15023
2025-08-01,14880
