Month,Price
2021-01-01,452
2021-02-01,429
2021-03-01,441
2021-04-01,456
2021-05-01,501
2021-06-01,522
2021-07-01,534
2021-08-01,520
2021-09-01,518
2021-10-01,536
2021-11-01,547
2021-12-01,529
2022-01-01,534
2022-02-01,547
2022-03-01,619
2022-04-01,629
2022-05-01,549
2022-06-01,471
2022-07-01,467
2022-08-01,481
2022-09-01,455
2022-10-01,452
2022-11-01,422
2022-12-01,437
2023-01-01,454
2023-02-01,453
2023-03-01,466
2023-04-01,450
2023-05-01,434
2023-06-01,428
2023-07-01,403
2023-08-01,421
2023-09-01,432
2023-10-01,406
2023-11-01,411
2023-12-01,418
2024-01-01,417
2024-02-01,414
2024-03-01,403
2024-04-01,418
2024-05-01,421
2024-06-01,414
2024-07-01,410
2024-08-01,398
2024-09-01,388
2024-10-01,396
2024-11-01,387
2024-12-01,380
2025-01-01,373
2025-02-01,372
2025-03-01,380
2025-04-01,379
2025-05-01,367
2025-06-01,360
2025-07-01,357
2025-08-01,364
