Month,Price
2021-01-01,432
2021-02-01,390
2021-03-01,413
2021-04-01,407
2021-05-01,477
2021-06-01,482
2021-07-01,469
2021-08-01,426
2021-09-01,409
2021-10-01,449
2021-11-01,468
2021-12-01,442
2022-01-01,447
2022-02-01,486
2022-03-01,634
2022-04-01,611
2022-05-01,467
2022-06-01,360
2022-07-01,356
2022-08-01,371
2022-09-01,344
2022-10-01,361
2022-11-01,335
2022-12-01,380
2023-01-01,406
2023-02-01,420
2023-03-01,446
2023-04-01,414
2023-05-01,371
2023-06-01,378
2023-07-01,355
2023-08-01,362
2023-09-01,367
2023-10-01,352
2023-11-01,369
2023-12-01,401
2024-01-01,408
2024-02-01,407
2024-03-01,374
2024-04-01,369
2024-05-01,371
2024-06-01,381
2024-07-01,385
2024-08-01,368
2024-09-01,364
2024-10-01,371
2024-11-01,349
2024-12-01,343
2025-01-01,338
2025-02-01,357
2025-03-01,373
2025-04-01,348
2025-05-01,336
2025-06-01,331
2025-07-01,341
2025-08-01,336
